",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"51,""2013-12-17"",18.080046,31.458475,402.920013,57.77,558.108093,28.709999,3.727444,13.749311,54.368572,31.293104"
"52,""2013-12-24"",17.586252,32.034046,393.369995,53.709999,555.285278,30.488001,3.772324,13.617863,52.427143,32.017765"
"53,""2013-12-31"",17.250399,31.03754,393.630005,57.200001,559.219238,29.4,3.751065,14.59933,51.367142,31.378815"
"54,""2014-01-07"",16.990343,30.049637,390.980011,55.91,562.052063,27.868,3.628234,14.397779,48.115715,30.802189"
"55,""2014-01-14"",17.147018,31.252312,399.609985,56.299999,575.84082,34.001999,3.777048,14.906038,47.148571,30.607397"
"56,""2014-01-21"",17.458759,30.951637,386.279999,53.549999,551.166138,33.924,3.651855,14.292625,54.46143,30.178833"
"57,""2014-01-28"",15.905712,31.338207,346.149994,61.48,567.282288,35.422001,3.658942,14.327676,57.76857,28.986631"
"58,""2014-02-04"",16.776585,31.613113,360.869995,63.549999,587.052063,39.312,3.760514,14.651908,61.491428,30.054157"
"59,""2014-02-11"",17.355568,32.317539,357.350006,67.089996,602.002014,39.646,4.230577,14.63438,62.215714,30.334663"
"60,""2014-02-18"",16.83107,32.37767,351.779999,70.779999,606.861877,43.529999,4.466791,14.48541,63.857143,29.220388"
"61,""2014-02-25"",16.837763,32.698341,359.779999,67.410004,601.94696,50.112,4.320338,14.28386,63.655712,29.703512"
"62,""2014-03-04"",16.938585,32.732979,370.529999,72.029999,606.391418,47.768002,4.292391,15.30914,62.849998,30.116499"
"63,""2014-03-11"",16.805225,32.932034,375.040009,68.739998,596.646667,46.796001,4.228323,15.002638,60.388573,29.820396"
"64,""2014-03-18"",17.202436,35.05249,351.850006,64.099998,579.544556,44.034,4.37781,15.230615,54.128571,30.158764"
"65,""2014-03-25"",17.124271,35.476582,336.369995,60.240002,557.812805,41.689999,4.24968,15.081548,50.290001,30.362967"
"66,""2014-04-01"",16.700895,34.446648,317.76001,56.950001,540.630005,41.504002,4.320863,14.36255,48.285713,30.331543"
"67,""2014-04-08"",16.643791,33.910049,315.910004,58.889999,545.200012,39.618,4.346964,14.029352,47.368572,30.41795"
"68,""2014-04-15"",16.946558,34.567814,330.869995,61.240002,539.369995,40.875999,4.439503,14.108267,49.784286,32.004417"
"69,""2014-04-22"",18.953978,35.37273,296.579987,56.139999,522.97998,39.702,4.425265,13.108675,44.887142,32.224327"
"70,""2014-04-29"",19.173159,34.126419,310.049988,61.220001,535.330017,43.321999,4.420519,13.222663,49.197144,32.012268"
"71,""2014-05-06"",18.913771,34.593781,302.859985,59.830002,538.429993,36.933998,4.408658,13.213893,49.349998,32.059387"
"72,""2014-05-13"",19.396698,34.40337,296.76001,59.209999,538.830017,39.217999,4.399166,12.86316,52.07143,31.973"
"73,""2014-05-20"",19.702766,34.968563,312.23999,61.349998,563.799988,41.459999,4.387302,12.907002,57.478573,31.870911"
"74,""2014-05-27"",20.168606,35.552532,308.839996,63.080002,564.340027,40.939999,4.514776,13.38049,60.294285,32.090805"
