",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"216,""2017-02-14"",32.122978,60.192184,845.070007,133.529999,846.549988,54.445999,26.462,22.250551,142.220001,35.301754"
"217,""2017-02-21"",32.409367,60.191631,848.640015,136.410004,849.669983,49.245998,25.766087,22.295916,143.410004,35.67849"
"218,""2017-02-28"",32.979771,60.229099,846.609985,137.419998,847.27002,50.242001,24.133217,22.912977,141.940002,36.115158"
"219,""2017-03-07"",32.946636,60.641441,854.590027,139.600006,864.580017,49.234001,25.166056,23.028328,143.520004,35.986729"
"220,""2017-03-14"",33.481556,60.847607,856.969971,139.940002,867.909973,52.383999,27.043932,22.24555,145.830002,36.433929"
"221,""2017-03-21"",33.344273,61.006916,846.820007,140.320007,838.51001,54.043999,26.747427,20.962154,144.059998,36.554852"
"222,""2017-03-28"",34.011723,61.428635,891.51001,142.279999,856.75,59.703999,26.779547,21.471867,146.919998,36.632599"
"223,""2017-04-04"",33.886284,61.409885,907.039978,141.039993,841.700012,62.478001,24.15793,20.953051,143.850006,36.874451"
"224,""2017-04-11"",33.569126,61.363037,901.98999,141.419998,855.130005,60.287998,24.518679,20.761908,147.25,37.202686"
"225,""2017-04-18"",33.997524,63.284134,907.409973,145.470001,878.929993,61.605999,25.437853,21.50828,143.830002,37.384075"
"226,""2017-04-25"",34.693375,65.045944,948.22998,152.460007,932.820007,64.566002,26.349613,21.490076,155.350006,37.332249"
"227,""2017-05-02"",36.215271,64.605484,949.039978,151.059998,958.690002,61.438,25.393377,21.808643,156.380005,37.910976"
"228,""2017-05-09"",36.851952,64.127556,957.969971,150.190002,959.219971,63.175999,33.186573,21.89967,160.020004,37.77277"
"229,""2017-05-16"",36.59766,64.146294,970.669983,148.240005,964.070007,62.07,34.320713,20.971254,157.160004,38.161469"
"230,""2017-05-23"",36.507355,65.937141,995.780029,152.130005,993.27002,65.028,35.084064,21.153297,162.429993,39.206638"
"231,""2017-05-30"",36.583393,68.123734,1011.340027,153.630005,1003.880005,69.463997,36.610218,20.397823,165.059998,39.724907"
"232,""2017-06-06"",34.560894,65.767509,964.909973,148.440002,961.809998,71.802002,37.095016,21.715902,151.440002,39.154812"
"233,""2017-06-13"",34.779537,66.79483,995.169983,152.869995,975.219971,73.959999,38.913048,21.83462,153.399994,39.198002"
"234,""2017-06-20"",34.65596,66.47438,993.97998,153.589996,972.090027,75.498001,37.634243,20.903152,157.5,39.564133"
"235,""2017-06-27"",34.104588,64.250069,953.659973,148.429993,919.460022,70.524002,34.46323,22.537781,146.169998,38.980637"
"236,""2017-07-04"",34.475334,65.956001,996.469971,153.5,951,63.209999,38.017639,22.729553,152.669998,38.649704"
"237,""2017-07-11"",35.544815,69.13221,1010.039978,159.729996,975.960022,63.914001,40.627182,21.935066,161.699997,38.95451"
"238,""2017-07-18"",36.146099,69.367851,1038.949951,166,998.309998,68.503998,41.097149,21.83462,187.910004,39.050308"
"239,""2017-07-25"",35.347557,68.519585,987.780029,169.25,945.5,64.694,40.196793,22.02639,181.660004,39.921188"
"240,""2017-08-01"",37.743191,68.236862,992.27002,171.979996,945.75,71.033997,42.630711,22.793476,181.330002,39.747017"
"241,""2017-08-08"",37.990364,69.358406,983.299988,170.75,938.929993,72.760002,41.653675,22.30035,171,39.886356"
"242,""2017-08-15"",37.509655,68.001221,953.289978,167.779999,920.869995,67.571999,39.365688,21.350622,166.759995,39.781853"
"243,""2017-08-22"",38.526073,69.007843,946.02002,167.240005,928.130005,69.132004,40.805267,21.661106,167.119995,39.555416"
"244,""2017-08-29"",39.141651,70.059586,978.25,172.020004,951.98999,71.080002,42.200344,21.998995,174.740005,39.868938"
"245,""2017-09-05"",38.533234,70.83654,977.960022,173.509995,943.289978,72.737999,41.838882,21.441473,181.740005,40.513386"
"246,""2017-09-12"",37.858006,71.215561,974.190002,170.009995,929.75,77,46.431267,22.671423,184.619995,40.156334"
"247,""2017-09-19"",35.920612,69.41526,939.789978,162.869995,934.280029,68.998001,42.334023,22.726494,178.550003,40.107162"
"248,""2017-09-26"",36.698433,70.694427,959.190002,169.470001,967.469971,68.306,44.314568,23.515863,177.009995,39.325924"
"249,""2017-10-03"",37.182781,72.286255,990.98999,172.5,992.309998,68.587997,45.896519,23.726974,196.869995,39.861382"
"250,""2017-10-10"",38.146709,73.574875,1006.340027,174.520004,1009.349976,70.120003,49.001011,24.084942,202.679993,40.923534"
"251,""2017-10-17"",37.26152,74.692955,966.299988,171.270004,985.539978,67.403999,48.676701,24.929386,192.470001,40.660194"
"252,""2017-10-24"",39.778702,79.487404,1110.849976,179.869995,1033.130005,64.015999,50.464138,25.333248,198.369995,40.256397"
"253,""2017-10-31"",41.575325,80.036949,1120.660034,180.169998,1042.680054,60.556,51.897556,25.470926,200.130005,39.914051"
"254,""2017-11-07"",41.50853,79.525291,1129.170044,178.770004,1041.199951,63.080002,52.640251,24.2318,195.080002,41.011311"
"255,""2017-11-14"",40.702324,78.198753,1126.310059,178.740005,1034.660034,61.748001,52.999229,24.543882,194.100006,39.905266"
"256,""2017-11-21"",41.686474,79.867546,1195.829956,183.029999,1072.01001,63.362,53.01408,24.406199,195.050003,40.291512"
"257,""2017-11-28"",40.659222,77.210701,1133.949951,171.470001,1011.869995,61.040001,46.243038,26.673332,184.039993,40.581188"
"258,""2017-12-05"",41.346455,81.162643,1168.920044,179.039993,1051.969971,65.781998,48.224949,26.676392,186.220001,40.11739"
"259,""2017-12-12"",42.244408,82.257774,1190.579956,180.820007,1085.089966,67.774002,49.027626,27.174152,190.419998,40.648384"
"260,""2017-12-19"",41.906769,81.429298,1168.359985,177.199997,1068.859985,65.040001,48.376072,27.542866,189.940002,40.347492"
"261,""2017-12-26"",40.522728,81.45787,1169.469971,176.460007,1053.400024,62.27,47.937572,27.211027,191.960007,40.604141"
"262,""2018-01-02"",41.748737,84.067093,1246.869995,188.279999,1114.209961,67.281998,54.99815,27.764101,212.050003,40.710339"
"263,""2018-01-09"",42.404831,85.324097,1305.199951,179.369995,1130.650024,67.244003,55.240925,28.750404,221.229996,40.843086"
"264,""2018-01-16"",42.383286,87.238197,1327.310059,185.369995,1164.160034,70.311996,57.894215,29.441742,227.580002,41.931648"
"265,""2018-01-23"",40.218628,89.437935,1417.680054,185.979996,1186.47998,69.905998,61.154469,29.755142,284.589996,42.214851"
"266,""2018-01-30"",37.472099,83.800453,1390,181.259995,1062.390015,66.625999,52.941906,27.893143,254.259995,39.727982"
"267,""2018-02-06"",38.961498,84.876518,1386.22998,176.410004,1054.560059,63.146,56.492016,28.685877,257.950012,38.913776"
"268,""2018-02-13"",41.457317,87.609566,1448.689941,177.360001,1095.5,67.098,60.408768,29.469393,278.519989,39.807636"
"269,""2018-02-20"",43.029736,91.293205,1521.949951,184.929993,1143.699951,71.484001,61.087585,29.884195,294.160004,38.966877"
"270,""2018-02-27"",42.51281,89.590187,1523.609985,180.399994,1094.76001,66.669998,58.416065,29.616879,315,38.842972"
"271,""2018-03-06"",43.690918,92.584808,1598.390015,184.759995,1165.930054,69.101997,61.913834,30.384932,321.299988,39.409378"
"272,""2018-03-13"",42.147358,88.872627,1544.930054,172.559998,1100.069946,62.712002,59.742294,29.589224,313.480011,38.285419"
"273,""2018-03-20"",41.539078,89.724121,1555.859985,160.059998,1054.089966,60.835999,60.604965,28.164351,320.350006,38.114475"
"274,""2018-03-27"",40.074852,84.691635,1371.98999,155.389999,1012.630005,50.495998,54.796825,27.118826,280.290009,38.096619"
"275,""2018-04-03"",40.885109,86.844292,1406.079956,157.929993,1020.090027,57.931999,53.398708,27.636965,289.929993,39.132294"
"276,""2018-04-10"",42.272385,90.097252,1441.5,164.830002,1046.099976,58.242001,57.38483,27.692476,307.779999,39.891186"
"277,""2018-04-17"",39.728634,91.226234,1517.859985,165.839996,1073.810059,56.674,55.498371,28.053324,318.690002,39.266216"
"278,""2018-04-24"",39.73344,89.475357,1566.130005,172,1018.580017,58.779999,55.751209,27.683226,312.459991,38.578739"
"279,""2018-05-01"",44.517994,92.058594,1600.140015,177.970001,1059.459961,60.554001,61.646118,27.42416,326.26001,37.623425"
"280,""2018-05-08"",45.236877,93.790321,1601.540039,186.639999,1106.599976,58.394001,63.302052,28.793518,328.529999,37.534145"
"281,""2018-05-15"",45.285812,93.378922,1585.459961,184.490005,1084.01001,56.897999,60.545475,28.266129,331.820007,37.864483"
"282,""2018-05-22"",45.515095,94.513939,1610.150024,184.919998,1084.079956,55.77,61.794849,27.905283,351.290009,37.855568"
"283,""2018-05-29"",46.299507,97.694511,1665.27002,193.279999,1153.040039,59.348,65.69516,27.202103,361.809998,38.828739"
"284,""2018-06-05"",46.154701,97.098755,1689.119995,191.539993,1140.900024,66.419998,64.645912,27.926394,361.450012,39.400143"
"285,""2018-06-12"",45.553722,96.916176,1723.790039,198.309998,1183.579956,74.166,65.7547,27.313244,390.399994,38.882298"
"286,""2018-06-19"",43.968006,94.54277,1663.150024,196.350006,1139.280029,66.601997,59.31292,26.45854,384.480011,39.255619"
"287,""2018-06-26"",45.177197,96.099434,1713.780029,197.360001,1142.109985,67.014,60.086826,26.272739,398.179993,39.408745"
"288,""2018-07-03"",45.997822,97.867477,1739.02002,204.740005,1167.280029,63.702,61.82563,26.988085,418.970001,39.994251"
"289,""2018-07-10"",46.077465,100.807823,1822.48999,207.229996,1196.51001,62.02,61.565186,27.666269,400.480011,40.291508"
"290,""2018-07-17"",46.246414,103.748161,1802,210.910004,1211,60.639999,61.865314,28.567423,362.660004,40.489674"
"291,""2018-07-24"",45.836109,101.24984,1779.219971,171.059998,1230.040039,58.034,60.555637,29.087673,334.959991,41.642666"
"292,""2018-07-31"",50.460503,103.901909,1847.75,185.690002,1237.670044,68.398003,63.011284,29.282768,350.920013,42.020985"
"293,""2018-08-07"",50.412239,103.978775,1896.199951,180.050003,1248.640015,71.281998,63.529716,28.316586,341.309998,41.282356"
"294,""2018-08-14"",52.185162,102.691185,1876.709961,172.5,1221.949951,61.688,61.47588,28.678905,327.730011,42.093044"
"295,""2018-08-21"",52.785824,105.719704,1927.680054,177.460007,1256.27002,63.854,68.436066,29.087673,364.579987,41.156246"
"296,""2018-08-28"",55.132771,108.353065,2012.709961,175.729996,1231.800049,60.332001,69.621735,28.734644,367.679993,40.147385"
"297,""2018-09-04"",52.88028,105.507507,1939.01001,164.179993,1175.060059,57.099998,68.183144,28.632452,348.410004,41.489532"
"298,""2018-09-11"",52.771294,108.169785,1908.030029,160.580002,1159.829956,58.967999,67.984589,28.266769,350.350006,41.723728"
"299,""2018-09-18"",53.476101,110.610207,1934.359985,165.410004,1179.560059,59.936001,65.942039,28.696182,369.609985,41.851521"
"300,""2018-09-25"",55.043159,111.51693,2004.359985,162.440002,1208.530029,62.139999,71.814041,27.678654,381.429993,41.996872"
"301,""2018-10-02"",54.197872,106.925453,1864.420044,157.25,1155.920044,50.112,65.959419,28.257429,349.100006,42.223984"
"302,""2018-10-09"",52.645351,103.790504,1760.949951,153.520004,1102.439941,51.917999,58.417164,26.063677,333.130005,40.797741"
"303,""2018-10-16"",53.442188,105.74865,1789.300049,154.779999,1111.369995,52.189999,57.38472,25.559578,329.540009,41.760681"
"304,""2018-10-23"",51.405266,100.173279,1538.880005,142.089996,1034.72998,66.970001,46.0676,24.840776,284.839996,42.205814"
"305,""2018-10-30"",48.825794,103.703712,1627.800049,148.679993,1055.72998,68.279999,52.557575,26.194368,315.440002,44.231617"
"306,""2018-11-06"",47.028637,103.086372,1636.849976,141.550003,1049.359985,66.255997,47.040478,25.90498,294.070007,45.303574"
"307,""2018-11-13"",45.173008,100.916016,1512.290039,131.550003,1027.420044,70.694,35.911983,25.90498,270.600006,45.884964"
"308,""2018-11-20"",42.441132,103.144211,1581.329956,136.380005,1055.939941,69.199997,37.984306,25.72761,261.429993,44.39513"
"309,""2018-11-27"",44.920242,108.588646,1772.359985,141.089996,1116.359985,71.697998,42.200932,26.642456,290.299988,45.140049"
"310,""2018-12-04"",41.221031,104.22921,1641.030029,141.850006,1053.180054,73.029999,37.726681,23.113775,269.700012,45.084976"
"311,""2018-12-11"",39.845383,99.676025,1520.910034,140.190002,1025.650024,69.683998,35.669678,22.970718,262.799988,44.251759"
"312,""2018-12-18"",35.686821,91.189674,1343.959961,124.059998,984.669983,59.077999,31.570566,21.337326,233.880005,42.081753"
"313,""2018-12-25"",38.338482,98.39727,1501.969971,131.089996,1044.959961,66.559998,33.165493,23.130299,267.660004,43.35445"
"314,""2019-01-01"",35.954174,98.871964,1629.51001,138.050003,1075.920044,66.991997,35.62495,23.993935,315.339996,42.988216"
"315,""2019-01-08"",36.457287,98.862282,1617.209961,145.389999,1051.51001,66.879997,37.373905,24.754307,332.940002,43.171337"
"316,""2019-01-15"",38.114872,104.345474,1696.199951,150.039993,1107.300049,60.452,38.986217,27.504786,339.100006,43.592518"
"317,""2019-01-22"",37.988491,101.797623,1637.890015,147.470001,1079.859985,59.276001,34.285915,27.814562,335.660004,43.189644"
"318,""2019-01-29"",41.622059,102.436996,1633.310059,169.25,1141.420044,62.577999,37.060886,27.110518,351.339996,45.094131"
"319,""2019-02-05"",41.179707,101.962311,1591,165.789993,1102.119995,62.568001,36.382668,26.669313,345.730011,45.423748"
"320,""2019-02-12"",41.59798,104.839554,1607.949951,162.5,1119.630005,61.576,39.088081,27.326426,356.869995,41.422504"
"321,""2019-02-19"",42.527962,108.104271,1633,164.619995,1117.329956,59.754002,39.423458,27.476624,363.910004,41.14782"
"322,""2019-02-26"",42.923397,109.217789,1696.170044,167.369995,1153.420044,57.071999,38.948959,27.251328,351.040009,41.797909"
"323,""2019-03-05"",43.667866,109.772339,1670.619995,172.070007,1179.26001,58.183998,40.073372,27.305542,358.859985,42.28318"
"324,""2019-03-12"",45.893978,114.383896,1742.150024,160.470001,1188.550049,53.897999,42.015614,28.135841,363.440002,41.578159"
"325,""2019-03-19"",46.069729,114.471458,1774.26001,166.289993,1197.380005,52.084,43.216778,25.324148,366.230011,42.51376"
"326,""2019-03-26"",46.679958,115.794594,1814.189941,168.699997,1198.97998,57.835999,45.330612,26.928135,366.959991,43.151062"
"327,""2019-04-02"",48.842594,116.679947,1849.859985,174.929993,1208.280029,54.639999,47.695618,27.522554,361.410004,42.994049"
"328,""2019-04-09"",48.630238,117.769592,1844.869995,179.649994,1226.530029,53.276001,45.93243,28.154713,348.869995,43.409668"
"329,""2019-04-16"",49.923927,120.406143,1887.310059,181.440002,1253.76001,52.549999,46.869984,28.352854,377.339996,43.779118"
"330,""2019-04-23"",49.943451,126.253288,1938.430054,194.779999,1296.199951,48.293999,44.596981,29.032187,371.829987,44.721191"
"331,""2019-04-30"",50.888084,124.67717,1950.550049,193.880005,1193.459961,51.068001,44.726303,28.749132,378.670013,44.76738"
"332,""2019-05-07"",45.332569,120.007271,1822.680054,181.539993,1136.589966,45.402,39.404408,26.654514,345.26001,44.379463"
"333,""2019-05-14"",44.86272,122.799484,1858.969971,182.720001,1144.660034,41.071999,37.738201,26.796038,348.109985,45.118347"
"334,""2019-05-21"",43.853188,123.273567,1823.280029,181.059998,1138.609985,38.125999,36.096874,26.588465,354.390015,45.82029"
"335,""2019-05-28"",42.46386,117.023972,1692.689941,164.149994,1038.73999,35.793999,33.26931,25.17318,336.630005,46.162022"
"336,""2019-06-04"",47.188057,129.4841,1860.630005,174.820007,1082.76001,42.576,36.954704,26.484676,352.01001,47.455074"
"337,""2019-06-11"",47.509048,129.728256,1886.030029,189.009995,1093.890015,45.006001,36.1082,26.49498,350.619995,46.984035"
"338,""2019-06-18"",48.658249,134.542404,1913.900024,192.600006,1116.699951,44.728001,38.007843,26.542408,371.040009,48.328167"
"339,""2019-06-25"",49.38599,132.491745,1922.189941,193,1100,45.433998,41.371441,27.908424,374.600006,48.030312"
"340,""2019-07-02"",49.011089,133.741684,1952.319946,195.759995,1116.790039,46.068001,39.140659,27.699728,376.160004,48.402637"
"341,""2019-07-09"",50.282799,135.636093,2020.98999,203.910004,1150.51001,50.700001,41.645306,27.7187,366.600006,48.523643"
"342,""2019-07-16"",50.775307,135.177124,1985.630005,202.320007,1139.209961,51.136002,42.653633,28.050714,310.619995,47.676598"
"343,""2019-07-23"",51.378082,137.716019,1912.449951,195.940002,1241.839966,47.153999,43.525032,28.951908,332.700012,50.254978"
"344,""2019-07-30"",47.374279,129.103287,1765.130005,181.729996,1154.75,45.664001,37.542263,26.637272,307.630005,48.076859"
"345,""2019-08-06"",49.123798,132.599152,1784.920044,185.369995,1174.5,45.801998,37.706589,26.219877,310.829987,49.51963"
"346,""2019-08-13"",51.738087,135.157608,1816.119995,186.169998,1200.439941,45.366001,42.519196,25.868887,309.380005,50.906551"
"347,""2019-08-20"",50.788681,132.707596,1768.869995,180.360001,1171.180054,43,41.192177,25.404068,294.980011,50.766922"
"348,""2019-08-27"",51.342091,135.068817,1776.290039,185.669998,1190.530029,45.122002,41.705055,26.09656,293.75,51.232338"
"349,""2019-09-03"",52.677662,134.735687,1831.349976,188.759995,1205.27002,46.358002,44.983669,27.159014,294.339996,50.748306"
"350,""2019-09-10"",54.087021,133.569794,1807.839966,186.220001,1231.630005,48.562,44.9114,28.770329,294.290009,50.227047"
"351,""2019-09-17"",53.796795,136.322906,1785.300049,186.820007,1234.689941,48.245998,43.573105,28.187857,265.920013,50.763046"
"352,""2019-09-24"",55.088093,136.215103,1735.910034,178.080002,1221.140015,48.174,43.381207,27.853653,267.619995,51.044331"
"353,""2019-10-01"",55.84811,134.343781,1732.660034,179.679993,1208.25,47.543999,45.938168,27.032457,274.459991,50.509892"
"354,""2019-10-08"",58.015041,136.724594,1736.430054,183.279999,1217.77002,51.391998,46.486443,27.825005,285.529999,49.975445"
"355,""2019-10-15"",59.156296,135.627228,1785.660034,189.759995,1244.280029,50.700001,48.849018,29.620167,278.049988,50.847431"
"356,""2019-10-22"",61.256817,141.270645,1777.079956,189.399994,1288.97998,65.542,51.535583,30.40316,281.859985,50.228603"
"357,""2019-10-29"",63.335197,141.623352,1804.660034,194.720001,1289.609985,63.493999,52.460182,30.937891,292.859985,49.82542"
"358,""2019-11-05"",64.491219,143.151779,1771.650024,189.610001,1298.280029,69.017998,51.881996,31.68269,294.179993,48.606503"
"359,""2019-11-12"",65.893661,147.296127,1752.530029,197.399994,1319.839966,69.998001,52.903786,31.472622,302.570007,49.722279"
"360,""2019-11-19"",65.71357,148.168091,1773.839966,199.789993,1305.640015,67.267998,55.129295,31.959599,315.549988,49.900429"
"361,""2019-11-26"",65.168373,147.020706,1781.599976,199.699997,1288.859985,66.973999,52.148651,31.92141,309.98999,50.397373"
"362,""2019-12-03"",65.849258,148.800095,1749.51001,201.339996,1342.98999,67.905998,52.91539,31.997797,302.5,51.076107"
"363,""2019-12-10"",69.04155,152.899551,1769.209961,197.919998,1360.699951,76.300003,56.152611,33.314995,304.209991,51.406723"
"364,""2019-12-17"",70.062897,154.747772,1793,206.179993,1350.630005,83.844002,59.561924,33.766235,333.100006,51.869591"
"365,""2019-12-24"",71.918076,154.924713,1846.890015,204.410004,1339.709961,82.940002,57.940815,33.747036,323.309998,52.209663"
"366,""2019-12-31"",73.96077,156.340378,1902.880005,212.600006,1397.810059,90.307999,59.122974,33.459003,335.829987,51.642879"
"367,""2020-01-07"",78.194153,160.518509,1891.300049,221.910004,1440.030029,104.972,62.844032,33.660625,338.920013,53.022045"
"368,""2020-01-14"",78.630814,164.27388,1864.719971,222.139999,1479.52002,102.099998,62.17065,33.324593,339.670013,53.787189"
"369,""2020-01-21"",76.218086,159.5354,1828.339966,214.869995,1431.72998,111.603996,59.906094,31.538832,342.880005,54.297291"
"370,""2020-01-28"",76.146538,171.430771,2004.199951,204.190002,1482.599976,156,59.938519,31.654047,358,55.33638"
"371,""2020-02-04"",79.326508,185.508545,2133.909912,213.059998,1508.660034,154.255997,65.584946,33.305393,371.070007,56.441597"
"372,""2020-02-11"",80.355545,182.215225,2134.870117,214.179993,1518.72998,160.005997,72.273888,33.459003,380.399994,56.630527"
"373,""2020-02-18"",73.735695,167.999786,2009.290039,200.720001,1419.859985,166.757996,68.156281,31.423626,368.700012,55.402508"
"374,""2020-02-25"",73.891472,170.331619,1953.949951,196.440002,1386.319946,148.723999,68.941872,28.197735,381.049988,52.823669"
"375,""2020-03-03"",65.820076,148.477036,1800.609985,169.5,1215.790039,121.599998,61.249565,21.054693,346.48999,48.988472"
"376,""2020-03-10"",59.895115,133.493301,1689.150024,146.009995,1073,89.014,49.011627,19.749382,298.839996,42.753918"
"377,""2020-03-17"",55.483528,134.045319,1902.829956,148.100006,1054.130005,86.858002,53.076797,17.46912,360.269989,35.791443"
"378,""2020-03-24"",63.010906,157.950302,1963.949951,165.949997,1146.310059,100.426003,66.278,21.295321,370.959991,42.881119"
"379,""2020-03-31"",64.905121,162.918594,1997.589966,165.550003,1183.189941,103.248001,66.979225,20.667282,379.959991,44.472481"
"380,""2020-04-07"",67.570862,163.155197,2168.870117,174.789993,1210.410034,130.190002,67.341087,23.111799,396.720001,44.720238"
"381,""2020-04-14"",68.480873,172.569305,2393.610107,178.240005,1261.150024,149.272003,71.633339,21.73978,437.48999,44.339077"
"382,""2020-04-21"",70.023941,171.573685,2376,187.5,1270.859985,159.75,74.13633,22.677002,421.380005,44.577301"
"383,""2020-04-28"",72.494324,176.295517,2315.98999,205.259995,1322.900024,152.238007,72.691437,22.155247,428.149994,43.014526"
"384,""2020-05-05"",77.89753,184.083145,2409,213.179993,1403.589966,162.257996,80.509842,21.817076,440.519989,43.395691"
"385,""2020-05-12"",78.095993,182.27919,2426.26001,213.190002,1385.180054,162.725998,87.345032,22.155247,452.579987,42.852535"
"386,""2020-05-19"",79.070457,180.899078,2436.879883,234.910004,1413.23999,163.376007,90.100052,21.894371,429.320007,42.909702"
"387,""2020-05-26"",79.804398,180.730728,2471.040039,231.910004,1434.869995,179.619995,87.904015,23.778486,425.920013,44.777416"
"388,""2020-06-02"",82.683159,186.19722,2524.060059,231.399994,1448.040039,189.983994,87.891533,27.575703,419.48999,47.50275"
"389,""2020-06-09"",85.046173,186.770569,2572.679932,232.5,1420.73999,198.179993,91.614182,24.469709,425.5,44.119904"
"390,""2020-06-16"",88.983696,198.267029,2713.820068,239.220001,1450.660034,198.863998,95.139435,23.954048,468.040009,43.982254"
"391,""2020-06-23"",89.705254,196.161484,2680.379883,220.639999,1397.170044,201.869995,91.876335,22.757317,447.23999,42.655285"
"392,""2020-06-30"",92.698067,208.280731,3057.040039,240.279999,1499.650024,274.31601,98.260246,23.020014,493.809998,43.491848"
"393,""2020-07-07"",94.696602,204.692383,3104,239,1512.22998,299.411987,100.387383,23.535681,525.5,43.511078"
"394,""2020-07-14"",97.553047,209.17038,3196.840088,245.419998,1563.839966,328.600006,104.966209,22.942179,502.410004,44.347645"
"395,""2020-07-21"",94.034546,201.509369,3055.209961,233.5,1529.430054,307.920013,104.074913,23.487032,495.649994,46.616955"
"396,""2020-07-28"",108.046501,214.05365,3111.889893,251.960007,1482.76001,297,109.954491,24.314039,498.619995,44.520729"
"397,""2020-08-04"",111.805511,205.858841,3148.159912,263,1496.819946,283.713989,111.499924,25.84157,483.380005,45.886158"
"398,""2020-08-11"",113.875069,207.86554,3182.409912,261.160004,1516.23999,367.127991,123.20417,25.199423,482.350006,46.357327"
"399,""2020-08-18"",125.053177,211.236389,3307.459961,271.390015,1585.150024,402.839996,127.031509,24.995106,488.809998,46.126553"
"400,""2020-08-25"",128.215347,223.479355,3450.959961,293.200012,1629.530029,498.320007,133.565216,25.043751,529.559998,47.626598"
"401,""2020-09-01"",120.186981,212.301926,3294.620117,282.730011,1581.209961,418.320007,126.055321,25.822115,516.049988,49.078575"
"402,""2020-09-08"",114.622765,203.542297,3102.969971,266.149994,1508.829956,419.619995,128.587921,25.228003,476.26001,48.761253"
"403,""2020-09-15"",109.376511,200.698364,2960.469971,248.149994,1430.140015,449.390015,125.041641,23.973951,487.350006,47.585613"
"404,""2020-09-22"",114.225311,207.535645,3174.050049,256.820007,1458.660034,421.200012,130.21373,23.601654,490.649994,47.769787"
"405,""2020-09-29"",115.755478,208.467117,3199.199951,264.649994,1482.829956,425.679993,136.282379,24.120911,520.650024,47.86673"
"406,""2020-10-06"",123.604996,219.386887,3442.929932,275.75,1564.589966,442.299988,142.111282,25.159422,539.809998,49.524323"
"407,""2020-10-13"",115.2388,212.272186,3207.209961,261.399994,1529.949951,430.829987,134.83638,23.239153,530.719971,48.099369"
"408,""2020-10-20"",114.314751,208.16983,3207.040039,277.109985,1584.290039,420.279999,131.275116,24.042534,488.23999,48.273853"
"409,""2020-10-27"",108.074883,200.490311,3004.47998,261.359985,1624.319946,400.51001,125.675987,23.591858,484.119995,47.130016"
"410,""2020-11-03"",115.57663,216.404282,3143.73999,278.769989,1761.420044,421.26001,136.165009,27.197258,470.5,50.958965"
"411,""2020-11-10"",119.737419,215.254822,3131.060059,278.959991,1774.030029,408.089996,135.011215,27.020908,479.100006,52.199734"
"412,""2020-11-17"",113.317581,208.199539,3098.389893,268.429993,1727.560059,521.849976,131.262634,26.834759,476.619995,51.065598"
"413,""2020-11-24"",118.493263,212.678909,3168.040039,276.970001,1754.400024,567.599976,133.874893,27.589148,490.700012,50.018688"
"414,""2020-12-01"",123.171288,212.897461,3158,285.579987,1817.030029,641.76001,135.925247,28.500296,515.780029,51.768856"
"415,""2020-12-08"",121.210495,212.808044,3156.969971,274.190002,1752.26001,639.830017,132.98764,27.820253,522.419983,52.0424"
"416,""2020-12-15"",127.630325,221.143539,3206.179932,272.790009,1734.560059,649.859985,133.222458,29.318722,528.909973,51.593002"
"417,""2020-12-22"",136.050766,223.498138,3283.959961,277,1773.959961,663.690002,128.903214,29.703197,519.119995,52.911888"
"418,""2020-12-29"",128.804825,216.275375,3186.629883,268.940002,1726.130005,729.77002,131.036606,29.604614,522.859985,51.544151"
"419,""2021-01-05"",128.376831,216.076675,3114.209961,256.839996,1756.290039,811.190002,136.112808,32.601551,499.100006,49.043148"
"420,""2021-01-12"",126.545425,211.268112,3104.25,251.360001,1727.619995,826.159973,128.49852,32.542397,497.980011,47.577713"
"421,""2021-01-19"",142.251633,228.038437,3294,278.01001,1894.280029,880.799988,136.430069,30.718605,556.780029,47.655869"
"422,""2021-01-26"",133.51268,238.092667,3342.879883,262.01001,1893.069946,839.809998,132.270676,29.535604,539.039978,47.362782"
"423,""2021-02-02"",136.269745,240.894348,3322.939941,266.579987,2084.52002,863.419983,144.27916,32.621265,547.919983,48.7696"
"424,""2021-02-09"",134.938263,243.397995,3277.709961,270.5,2095.030029,816.119995,149.500259,32.897301,556.52002,49.521854"
"425,""2021-02-16"",125.598167,232.986069,3180.73999,260.329987,2054.26001,714.5,143.449799,34.652088,533.780029,49.463238"
"426,""2021-02-23"",127.382462,235.942459,3146.139893,264.910004,2069.659912,718.429993,138.313644,35.283024,550.640015,48.750061"
"427,""2021-03-02"",115.988907,226.432663,2951.949951,255.309998,2007.5,563,115.84552,36.604038,493.329987,50.449959"
"428,""2021-03-09"",123.594574,233.821411,3081.679932,273.75,2054.439941,707.940002,131.813522,37.400101,520.25,49.854019"
"429,""2021-03-16"",122.99649,234.99646,3110.870117,293.540009,2030.689941,670,131.809036,37.310932,523.109985,50.239422"
"430,""2021-03-23"",121.002861,234.249619,3075.72998,290.820007,2045.790039,611.289978,129.430008,37.954914,513.950012,53.046921"
"431,""2021-03-30"",125.498489,248.021393,3226.72998,308.910004,2218.959961,691.049988,139.818298,39.431099,540.669983,52.02243"
"432,""2021-04-06"",130.821457,254.832581,3379.389893,311.540009,2244.620117,701.97998,152.028351,39.68869,552.780029,52.554379"
